survey,id,regions_of_interest,topics_of_interest,special_stories,formats_used,open_text_media,formats_preferred,residence_town,place_of_birth,small_age_band,person_type,web_device,web_at_home,registered_voter,big_age_band,language,latino,gender,tv_video_language,radio_audio_language,print_language,trust_national_news,trust_local_news,trust_social_media_news,trust_news_from_social_circle,trust_sources_of_news_about_my_community,local_news_covers_issues_important_to_me,local_news_reflects_my_beliefs_values
English,2022/02/16 12:08:45 PM EST,Local;State;Regional/New England/NYC Metro;National;International,Music/Arts/Culture;Local events;Diversity;Social Justice;Environmental issues & global warming;Hospitality;Travel,Topics related to families with children;Topics related to small business owners;Topics related to community engagement,Email/newsletter,NPR,Email/newsletter,All others,DOMINICAN REPUBLIC,40-49,Parent,Yes,Yes,No,age30_49,Spanish,Yes,Woman,Spanish,Both English and Spanish,Spanish,Some,Some,Some,Some,Neutral,Neutral,Neutral
English,2022/02/16 1:45:33 PM EST,NA,NA,NA,NA,NA,NA,All others,OTHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
English,2022/04/04 10:53:46 AM EST,Local;State;National,"Music, arts, and culture;Health;Local events;Community resources (for example: assistance programs, small business resources, non-profits);Opportunities for community engagement",Topics related to families with children;Topics related to seniors;Topics related to community engagement,Newspapers,New Britain Herald/Bristol Press  Channel 30 news,Newspapers,All others,USA,50-59,None of these,Yes,Yes,Yes,age50_99,English,No,Woman,English,English,English,A lot,A lot,Some,Some,Agree,Agree,Agree
English,2022/04/04 10:58:47 AM EST,Local,"Music, arts, and culture;Health;Local events;Community resources (for example: assistance programs, small business resources, non-profits);Opportunities for community engagement",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to community engagement,TV,"NBC news, Today show, the Herald if available",TV,All others,USA,30-39,Student,Yes,Yes,Yes,age30_49,Both English and Spanish,Yes,Woman,Both English and Spanish,Both English and Spanish,Both English and Spanish,Some,A lot,Not at all,Not at all,Disagree,Disagree,Neutral
English,2022/04/04 11:04:43 AM EST,Local;State;Regional/New England/NYC Metro;National,Education;Health;Diversity and social justice;Technology;facilities available for medical care and their ratings,Topics related to families with children;Topics related to teens,News apps/news websites,"Record Journal, CNN, MSNBC",Same way I am receiving it - but RJ could give us more days without cutting off our ability to read articles,Meriden,USA,40-49,Student,Yes,Yes,Yes,age30_49,NA,Yes,Woman,English,English,English,A lot,A lot,Not at all,Some,Agree,Neutral,Neutral
English,2022/04/04 11:06:08 AM EST,State;Regional/New England/NYC Metro;International,"Music, arts, and culture;Local businesses;Education;Local events;Finance, wealth, and financial literacy;Real estate and homeownership",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to young adults,Radio,NA,News apps/news websites,Waterbury,USA,30-39,None of these,Yes,Yes,Yes,age30_49,Both English and Spanish,Yes,Woman,English,English,English,Some,Some,Not at all,Not at all,Neutral,Neutral,Neutral
English,2022/04/04 11:07:25 AM EST,Local;State;Regional/New England/NYC Metro;National;International,"Local businesses;Education;Health;Local events;Community resources (for example: assistance programs, small business resources, non-profits)",Topics related to small business owners;Topics related to community engagement,Newspapers,"Record Journal, NBC news, Facebook",Newspapers,Meriden,USA,50-59,None of these,Yes,Yes,Yes,age50_99,English,No,Woman,English,English,English,A lot,A lot,Some,Some,Agree,Agree,Agree
English,2022/04/04 11:11:18 AM EST,Local;State;Regional/New England/NYC Metro;National;International,"Local events;Community resources (for example: assistance programs, small business resources, non-profits);Technology;Travel and hospitality",Topics related to families with children;Topics related to small business owners;Topics related to community engagement,Radio,WAQY,News apps/news websites,All others,USA,60-69,None of these,Yes,Yes,Yes,age50_99,English,No,Man,English,English,English,Not at all,Some,Not at all,Some,Agree,Agree,Agree
English,2022/04/04 11:18:48 AM EST,Local;State;Regional/New England/NYC Metro;National;International,"Politics;Education;Health;Community resources (for example: assistance programs, small business resources, non-profits);Opportunities for community engagement",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,Social circles,"FOX news, Telemundo and CNN",News apps/news websites,Meriden,USA,40-49,Student,Yes,Yes,Yes,age30_49,Both English and Spanish,Yes,Woman,Both English and Spanish,Both English and Spanish,Both English and Spanish,Some,Some,Some,Some,Neutral,Neutral,Disagree
English,2022/04/04 11:42:36 AM EST,State,"Health;Community resources (for example: assistance programs, small business resources, non-profits);Finance, wealth, and financial literacy;Opportunities for community engagement;Environmental issues & climate change",Topics related to community engagement,News apps/news websites,News Break,Email/newsletter,Hartford,USA,40-49,None of these,Yes,Yes,Yes,age30_49,English,Yes,Woman,English,English,English,Some,Some,Some,Some,Neutral,Neutral,Neutral
English,2022/04/04 12:14:00 PM EST,Local;State;Regional/New England/NYC Metro,"Local businesses;Education;Health;Local events;Community resources (for example: assistance programs, small business resources, non-profits)",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,TV,channel 3 wfsb,Newspapers,Meriden,USA,40-49,Parent,Yes,Yes,Yes,age30_49,Both English and Spanish,Yes,Woman,English,I don't use this format,English,Some,Some,Not at all,Some,Agree,Neutral,Neutral
